,Plant ID,Accumulated Irrigation (mL),Accumulated Nitrates (minimoles),Average Humidity (%),Accumulated PAR,Growing Degree Days,BBCH,Num. Leaves,Average Leaf Thickness,Height,Diameter,Perpendicular
0,RWGRB5,1131.5,14.7095,62.00226068287527,28775.300000000003,809.2442445000001,19,16,0.2299999999999999,11.55,28.5,26.4
1,RWGRA3,990.5,5.9430000000000005,62.00226068287527,28775.300000000003,809.2442445000001,19,14,0.2975,11.15,23.5,24.2
2,RWGRC1,1084.0,18.428,62.00226068287527,28775.300000000003,809.2442445000001,19,16,0.352,8.55,23.6,21.7
3,RWGRA2,1128.0,6.768000000000001,62.00226068287527,28775.300000000003,809.2442445000001,17,15,0.29,11.55,24.8,23.6
4,RWGRB3,1062.5,13.8125,62.00226068287527,28775.300000000003,809.2442445000001,19,12,0.295,9.05,23.5,20.4
5,RWGRA4,1063.0,6.378,62.00226068287527,28775.300000000003,809.2442445000001,15,10,0.32,8.85,24.5,18.4
6,RWGRC3,1045.5,17.773500000000002,62.00226068287527,28775.300000000003,809.2442445000001,18,16,0.335,8.55,23.6,23.8
7,RWGRA5,1083.5,6.501,62.00226068287527,28775.300000000003,809.2442445000001,19,15,0.27,10.25,24.8,26.2
8,RWGRC2,877.5,14.9175,62.00226068287527,28775.300000000003,809.2442445000001,19,12,0.31,13.75,28.6,27.4
9,RWGRB4,1105.5,14.3715,62.00226068287527,28775.300000000003,809.2442445000001,19,15,0.335,13.25,33.1,29.6
10,RWGRC5,968.0,16.456,62.00226068287527,28775.300000000003,809.2442445000001,19,16,0.335,15.15,27.8,25.6
11,RWGRB1,1059.5,13.7735,62.00226068287527,28775.300000000003,809.2442445000001,19,14,0.28,11.85,30.4,24.8
12,RWGRC4,1058.0,17.986,62.00226068287527,28775.300000000003,809.2442445000001,19,11,0.2975,7.15,27.6,26.8
13,RWGRB2,800.5,10.4065,62.00226068287527,28775.300000000003,809.2442445000001,13,10,0.2675,7.05,22.4,21.5
14,RWGRA1,1083.0,6.498,62.00226068287527,28775.300000000003,809.2442445000001,16,15,0.2875,8.35,26.7,27.5
15,RNGRA3,1141.0,6.846,62.00226068287527,28775.300000000003,809.2442445000001,18,16,0.264,11.45,31.4,30.6
16,RNGRB5,1240.0,16.12,62.00226068287527,28775.300000000003,809.2442445000001,19,15,0.2425,13.95,31.7,33.1
17,RNGRC4,1110.0,18.87,62.00226068287527,28775.300000000003,809.2442445000001,19,16,0.29,12.15,27.6,26.2
18,RNGRA1,1172.25,7.0335,62.00226068287527,28775.300000000003,809.2442445000001,19,15,0.265,11.25,29.1,20.6
19,RNGRC5,1173.75,19.95375,62.00226068287527,28775.300000000003,809.2442445000001,16,14,0.2675,11.55,31.2,29.3
20,RNGRB2,1331.0,17.303,62.00226068287527,28775.300000000003,809.2442445000001,17,15,0.278,12.35,30.5,29.8
21,RNGRA2,1127.25,6.7635000000000005,62.00226068287527,28775.300000000003,809.2442445000001,16,13,0.2875,12.05,30.1,26.6
22,RNROB2,901.25,11.71625,62.00226068287527,28775.300000000003,809.2442445000001,17,11,0.35,11.05,24.7,21.6
23,RNROC3,820.25,13.94425,62.00226068287527,28775.300000000003,809.2442445000001,19,7,0.345,9.85,21.4,15.1
24,RNROA5,800.25,4.801500000000001,62.00226068287527,28775.300000000003,809.2442445000001,19,8,0.3675,9.55,24.2,19.8
25,RNROC5,846.25,14.38625,62.00226068287527,28775.300000000003,809.2442445000001,18,7,0.3475,9.35,23.4,20.6
26,RNROB3,928.0,12.064,62.00226068287527,28775.300000000003,809.2442445000001,19,10,0.28,9.25,26.4,17.5
27,RNROA1,657.5,3.9450000000000003,62.00226068287527,28775.300000000003,809.2442445000001,19,8,0.29,7.35,16.8,14.5
28,RNROC1,967.25,16.443250000000003,62.00226068287527,28775.300000000003,809.2442445000001,19,7,0.435,7.15,27.1,18.8
29,RNGRC1,1017.75,17.301750000000002,62.00226068287527,28775.300000000003,809.2442445000001,16,15,0.3,11.15,34.5,29.6
30,RNGRB3,1114.75,14.49175,62.00226068287527,28775.300000000003,809.2442445000001,18,11,0.2775,15.35,32.4,31.7
31,RNGRA5,989.5,5.937,62.00226068287527,28775.300000000003,809.2442445000001,19,8,0.28,11.85,29.1,19.2
32,RNGRB1,970.25,12.61325,62.00226068287527,28775.300000000003,809.2442445000001,19,10,0.275,12.15,26.8,29.2
33,RNGRC3,1061.5,18.0455,62.00226068287527,28775.300000000003,809.2442445000001,19,13,0.305,11.35,30.1,24.5
34,RNGRB4,1005.5,13.0715,62.00226068287527,28775.300000000003,809.2442445000001,19,12,0.2675,11.35,29.2,22.5
35,RNGRA4,966.25,5.7975,62.00226068287527,28775.300000000003,809.2442445000001,19,13,0.255,12.95,25.6,33.4
36,RNGRC2,1021.25,17.361250000000002,62.00226068287527,28775.300000000003,809.2442445000001,19,12,0.2925,9.15,30.2,26.6
37,RNROB1,719.25,9.35025,62.00226068287527,28775.300000000003,809.2442445000001,17,7,0.395,10.35,16.1,22.6
38,RNROA4,884.25,5.3055,62.00226068287527,28775.300000000003,809.2442445000001,18,10,0.3525,10.35,21.7,19.2
39,RNROC2,875.0,14.875,62.00226068287527,28775.300000000003,809.2442445000001,19,9,0.3575,9.05,22.5,19.8
40,RNROA3,870.5,5.223000000000001,62.00226068287527,28775.300000000003,809.2442445000001,19,11,0.325,10.15,26.8,24.5
41,RNROB5,787.25,10.23425,62.00226068287527,28775.300000000003,809.2442445000001,19,7,0.32,11.85,30.1,22.6
42,RNROA2,856.25,5.1375,62.00226068287527,28775.300000000003,809.2442445000001,19,11,0.365,10.35,22.8,20.5
43,RNROC4,976.75,16.60475,62.00226068287527,28775.300000000003,809.2442445000001,19,10,0.35,11.55,30.5,26.2
44,RNROB4,1066.25,13.86125,62.00226068287527,28775.300000000003,809.2442445000001,19,11,0.3825,9.95,20.6,23.1
