Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
1;1;W;07/09/2024;RWGRB5;10;14,5;10,4;9,5;;;;;
2;1;W;07/09/2024;RWGRA3;10;10,9;9,7;9,8;;;;;
3;1;W;07/09/2024;RWGRC1;13;15,8;13,9;9,4;;;;;
4;1;W;07/09/2024;RWGRA2;10;12,1;7,2;9,5;;;;;
5;1;W;07/09/2024;RWGRB3;11;14,2;10,5;12,5;;;;;
6;1;W;07/09/2024;RWGRA4;10;11,7;9,4;10,1;;;;;
7;1;W;07/09/2024;RWGRC3;12;11,1;9,6;11,5;;;;;
8;1;W;07/09/2024;RWGRA5;10;11,3;10,8;7,8;;;;;
9;2;W;07/09/2024;RWGRC2;12;15,2;12,1;12,3;;;;;
10;2;W;07/09/2024;RWGRB4;10;12,5;13,2;14,6;;;;;
11;2;W;07/09/2024;RWGRC5;12;13,1;10,4;12,6;;;;;
12;2;W;07/09/2024;RWGRB1;11;12,3;9,8;11,9;;;;;
13;2;W;07/09/2024;RWGRC4;11;14,9;12,8;12,5;;;;;
14;2;W;07/09/2024;RWGRB2;7;12,3;7,5;13,2;;;;;
15;2;W;07/09/2024;RWGRA1;12;12,4;10,8;11,6;;;;;
16;3;N;07/09/2024;RNGRA3;9;9,8;9,7;10,7;;;;;
17;3;N;07/09/2024;RNGRB5;12;12,6;12;14,2;;;;;
18;3;N;07/09/2024;RNGRC4;11;15,2;13,1;10,9;;;;;
19;3;N;07/09/2024;RNGRA1;12;12,9;11,1;11,8;;;;;
20;3;N;07/09/2024;RNGRC5;12;15,5;12,9;10,5;;;;;
21;3;N;07/09/2024;RNGRB2;10;14,4;12,3;9,4;;;;;
22;3;N;07/09/2024;RNGRA2;10;11,6;10,9;9,3;;;;;
23;4;N;07/09/2024;RNROB2;6;11,1;8,2;8,7;;;;;
24;4;N;07/09/2024;RNROC3;7;11,4;10,2;9,7;;;;;
25;4;N;07/09/2024;RNROA5;4;9,7;5,2;8,1;;;;;
26;4;N;07/09/2024;RNROC5;7;10,9;8,4;7,6;;;;;
27;4;N;07/09/2024;RNROB3;5;11,4;10,2;9,6;;;;;
28;4;N;07/09/2024;RNROA1;3;6,5;4,3;5,1;;;;;
29;4;N;07/09/2024;RNROC1;5;11,7;7,9;9,2;;;;;
30;5;N;07/09/2024;RNGRC1;11;13,4;13,1;13,8;;;;;
31;5;N;07/09/2024;RNGRB3;10;13,3;9,5;9,9;;;;;
32;5;N;07/09/2024;RNGRA5;7;10,2;6,8;9,5;;;;;
33;5;N;07/09/2024;RNGRB1;9;11,8;9,9;9,4;;;;;
34;5;N;07/09/2024;RNGRC3;12;13,8;12,6;10,9;;;;;
35;5;N;07/09/2024;RNGRB4;10;11,3;9,8;10,4;;;;;
36;5;N;07/09/2024;RNGRA4;7;8,9;7,7;6,9;;;;;
37;5;N;07/09/2024;RNGRC2;11;15,4;12,2;12,5;;;;;
38;6;N;07/09/2024;RNROB1;3;6,2;5,1;8,7;;;;;
39;6;N;07/09/2024;RNROA4;6;12,2;8,5;10,1;;;;;
40;6;N;07/09/2024;RNROC2;7;14,8;12,1;11,3;;;;;
41;6;N;07/09/2024;RNROA3;5;12,9;11,2;11,4;;;;;
42;6;N;07/09/2024;RNROB5;3;7,3;4,8;9,2;;;;;
43;6;N;07/09/2024;RNROA2;6;12,4;10,7;8,5;;;;;
44;6;N;07/09/2024;RNROC4;6;12,1;10,8;11,3;;;;;
45;6;N;07/09/2024;RNROB4;7;13,4;9,7;12,5;;;;;
1;1;W;11/09/2024;RWGRB5;12;17,5;16,2;11,1;;;;;
2;1;W;11/09/2024;RWGRA3;10;12,5;10,7;11,8;;;;;
3;1;W;11/09/2024;RWGRC1;15;16,1;14,8;11,3;;;;;
4;1;W;11/09/2024;RWGRA2;10;12,4;12,3;10,8;;;;;
5;1;W;11/09/2024;RWGRB3;13;15,2;13,5;11,8;;;;;
6;1;W;11/09/2024;RWGRA4;11;16,2;11,8;11,1;;;;;
7;1;W;11/09/2024;RWGRC3;15;15,1;14,7;13,2;;;;;
8;1;W;11/09/2024;RWGRA5;11;12,6;12,2;9,4;;;;;
9;2;W;11/09/2024;RWGRC2;14;21,3;16,4;12,8;;;;;
10;2;W;11/09/2024;RWGRB4;10;22,1;14,7;15,2;;;;;
11;2;W;11/09/2024;RWGRC5;16;14,4;14,2;12,3;;;;;
12;2;W;11/09/2024;RWGRB1;12;16,5;13,2;13,3;;;;;
13;2;W;11/09/2024;RWGRC4;13;16,2;14,9;13,1;;;;;
14;2;W;11/09/2024;RWGRB2;10;16,1;12,2;11,1;;;;;
15;2;W;11/09/2024;RWGRA1;12;13,8;12,7;11,2;;;;;
16;3;N;11/09/2024;RNGRA3;12;14,3;12,3;12,8;;;;;
17;3;N;11/09/2024;RNGRB5;14;19,7;15,8;15,8;;;;;
18;3;N;11/09/2024;RNGRC4;12;16,8;15,7;12,8;;;;;
19;3;N;11/09/2024;RNGRA1;15;14,2;13,2;12,8;;;;;
