,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-07,1,1,W,RWGRB5,10,14.5,10.4,9.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,2,1,W,RWGRA3,10,10.9,9.7,9.8,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,3,1,W,RWGRC1,13,15.8,13.9,9.4,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,4,1,W,RWGRA2,10,12.1,7.2,9.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,5,1,W,RWGRB3,11,14.2,10.5,12.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,6,1,W,RWGRA4,10,11.7,9.4,10.1,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,37,0.0
2024-09-07,7,1,W,RWGRC3,12,11.1,9.6,11.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,39,0.0
2024-09-07,8,1,W,RWGRA5,10,11.3,10.8,7.8,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,44,0.0
2024-09-07,9,2,W,RWGRC2,12,15.2,12.1,12.3,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,10,2,W,RWGRB4,10,12.5,13.2,14.6,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,11,2,W,RWGRC5,12,13.1,10.4,12.6,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,12,2,W,RWGRB1,11,12.3,9.8,11.9,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,13,2,W,RWGRC4,11,14.9,12.8,12.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,14,2,W,RWGRB2,7,12.3,7.5,13.2,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,15,2,W,RWGRA1,12,12.4,10.8,11.6,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,16,3,N,RNGRA3,9,9.8,9.7,10.7,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,17,3,N,RNGRB5,12,12.6,12.0,14.2,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,18,3,N,RNGRC4,11,15.2,13.1,10.9,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,19,3,N,RNGRA1,12,12.9,11.1,11.8,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,35,0.0
2024-09-07,20,3,N,RNGRC5,12,15.5,12.9,10.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
