,Date,Number,Line,Sample,No leaves,Diameter,Perpendicular,Height,Average Leaf Thickness,BBCH,GDD Cumul.,PAR Cumul.,Cumul. Irrigation (mL),Cumul. Nitrates (milimoles)
0,2024-09-07,19,3,RNGRA1,12,12.9,11.1,11.8,0.0,19,317.05,8284.7,350.0,2.1000000000000005
1,2024-09-07,22,3,RNGRA2,10,11.6,10.9,9.3,0.0,19,317.05,8284.7,350.0,2.1000000000000005
2,2024-09-07,16,3,RNGRA3,9,9.8,9.7,10.7,0.0,19,317.05,8284.7,350.0,2.1000000000000005
3,2024-09-07,36,5,RNGRA4,7,8.9,7.7,6.9,0.0,17,317.05,8284.7,350.0,2.1000000000000005
4,2024-09-07,32,5,RNGRA5,7,10.2,6.8,9.5,0.0,17,317.05,8284.7,350.0,2.1000000000000005
5,2024-09-07,33,5,RNGRB1,9,11.8,9.9,9.4,0.0,19,317.05,8284.7,350.0,4.55
6,2024-09-07,21,3,RNGRB2,10,14.4,12.3,9.4,0.0,19,317.05,8284.7,350.0,4.55
7,2024-09-07,31,5,RNGRB3,10,13.3,9.5,9.9,0.0,19,317.05,8284.7,350.0,4.55
8,2024-09-07,35,5,RNGRB4,10,11.3,9.8,10.4,0.0,19,317.05,8284.7,350.0,4.55
9,2024-09-07,17,3,RNGRB5,12,12.6,12.0,14.2,0.0,19,317.05,8284.7,350.0,4.55
10,2024-09-07,30,5,RNGRC1,11,13.4,13.1,13.8,0.0,19,317.05,8284.7,350.0,5.950000000000001
11,2024-09-07,37,5,RNGRC2,11,15.4,12.2,12.5,0.0,19,317.05,8284.7,350.0,5.950000000000001
12,2024-09-07,34,5,RNGRC3,12,13.8,12.6,10.9,0.0,19,317.05,8284.7,350.0,5.950000000000001
13,2024-09-07,18,3,RNGRC4,11,15.2,13.1,10.9,0.0,19,317.05,8284.7,350.0,5.950000000000001
14,2024-09-07,20,3,RNGRC5,12,15.5,12.9,10.5,0.0,19,317.05,8284.7,350.0,5.950000000000001
15,2024-09-07,28,4,RNROA1,3,6.5,4.3,5.1,0.0,13,317.05,8284.7,350.0,2.1000000000000005
16,2024-09-07,43,6,RNROA2,6,12.4,10.7,8.5,0.0,16,317.05,8284.7,350.0,2.1000000000000005
17,2024-09-07,41,6,RNROA3,5,12.9,11.2,11.4,0.0,15,317.05,8284.7,350.0,2.1000000000000005
18,2024-09-07,39,6,RNROA4,6,12.2,8.5,10.1,0.0,16,317.05,8284.7,350.0,2.1000000000000005
19,2024-09-07,25,4,RNROA5,4,9.7,5.2,8.1,0.0,14,317.05,8284.7,350.0,2.1000000000000005
20,2024-09-07,38,6,RNROB1,3,6.2,5.1,8.7,0.0,13,317.05,8284.7,350.0,4.55
21,2024-09-07,23,4,RNROB2,6,11.1,8.2,8.7,0.0,16,317.05,8284.7,350.0,4.55
22,2024-09-07,27,4,RNROB3,5,11.4,10.2,9.6,0.0,15,317.05,8284.7,350.0,4.55
23,2024-09-07,45,6,RNROB4,7,13.4,9.7,12.5,0.0,17,317.05,8284.7,350.0,4.55
24,2024-09-07,42,6,RNROB5,3,7.3,4.8,9.2,0.0,13,317.05,8284.7,350.0,4.55
