,Date,Number,Line,Sample,No leaves,Diameter,Perpendicular,Height,Average Leaf Thickness
0,2024-09-07,1,1,RWGRB5,10,14.5,10.4,9.5,0.0
1,2024-09-07,2,1,RWGRA3,10,10.9,9.7,9.8,0.0
2,2024-09-07,3,1,RWGRC1,13,15.8,13.9,9.4,0.0
3,2024-09-07,4,1,RWGRA2,10,12.1,7.2,9.5,0.0
4,2024-09-07,5,1,RWGRB3,11,14.2,10.5,12.5,0.0
5,2024-09-07,6,1,RWGRA4,10,11.7,9.4,10.1,0.0
6,2024-09-07,7,1,RWGRC3,12,11.1,9.6,11.5,0.0
7,2024-09-07,8,1,RWGRA5,10,11.3,10.8,7.8,0.0
8,2024-09-07,9,2,RWGRC2,12,15.2,12.1,12.3,0.0
9,2024-09-07,10,2,RWGRB4,10,12.5,13.2,14.6,0.0
10,2024-09-07,11,2,RWGRC5,12,13.1,10.4,12.6,0.0
11,2024-09-07,12,2,RWGRB1,11,12.3,9.8,11.9,0.0
12,2024-09-07,13,2,RWGRC4,11,14.9,12.8,12.5,0.0
13,2024-09-07,14,2,RWGRB2,7,12.3,7.5,13.2,0.0
14,2024-09-07,15,2,RWGRA1,12,12.4,10.8,11.6,0.0
15,2024-09-07,16,3,RNGRA3,9,9.8,9.7,10.7,0.0
16,2024-09-07,17,3,RNGRB5,12,12.6,12.0,14.2,0.0
17,2024-09-07,18,3,RNGRC4,11,15.2,13.1,10.9,0.0
18,2024-09-07,19,3,RNGRA1,12,12.9,11.1,11.8,0.0
19,2024-09-07,20,3,RNGRC5,12,15.5,12.9,10.5,0.0
20,2024-09-07,21,3,RNGRB2,10,14.4,12.3,9.4,0.0
21,2024-09-07,22,3,RNGRA2,10,11.6,10.9,9.3,0.0
22,2024-09-07,23,4,RNROB2,6,11.1,8.2,8.7,0.0
23,2024-09-07,24,4,RNROC3,7,11.4,10.2,9.7,0.0
24,2024-09-07,25,4,RNROA5,4,9.7,5.2,8.1,0.0
25,2024-09-07,26,4,RNROC5,7,10.9,8.4,7.6,0.0
26,2024-09-07,27,4,RNROB3,5,11.4,10.2,9.6,0.0
27,2024-09-07,28,4,RNROA1,3,6.5,4.3,5.1,0.0
28,2024-09-07,29,4,RNROC1,5,11.7,7.9,9.2,0.0
29,2024-09-07,30,5,RNGRC1,11,13.4,13.1,13.8,0.0
30,2024-09-07,31,5,RNGRB3,10,13.3,9.5,9.9,0.0
31,2024-09-07,32,5,RNGRA5,7,10.2,6.8,9.5,0.0
32,2024-09-07,33,5,RNGRB1,9,11.8,9.9,9.4,0.0
33,2024-09-07,34,5,RNGRC3,12,13.8,12.6,10.9,0.0
34,2024-09-07,35,5,RNGRB4,10,11.3,9.8,10.4,0.0
35,2024-09-07,36,5,RNGRA4,7,8.9,7.7,6.9,0.0
36,2024-09-07,37,5,RNGRC2,11,15.4,12.2,12.5,0.0
37,2024-09-07,38,6,RNROB1,3,6.2,5.1,8.7,0.0
38,2024-09-07,39,6,RNROA4,6,12.2,8.5,10.1,0.0
39,2024-09-07,40,6,RNROC2,7,14.8,12.1,11.3,0.0
40,2024-09-07,41,6,RNROA3,5,12.9,11.2,11.4,0.0
41,2024-09-07,42,6,RNROB5,3,7.3,4.8,9.2,0.0
42,2024-09-07,43,6,RNROA2,6,12.4,10.7,8.5,0.0
43,2024-09-07,44,6,RNROC4,6,12.1,10.8,11.3,0.0
44,2024-09-07,45,6,RNROB4,7,13.4,9.7,12.5,0.0
45,2024-09-11,1,1,RWGRB5,12,17.5,16.2,11.1,0.0
46,2024-09-11,2,1,RWGRA3,10,12.5,10.7,11.8,0.0
47,2024-09-11,3,1,RWGRC1,15,16.1,14.8,11.3,0.0
48,2024-09-11,4,1,RWGRA2,10,12.4,12.3,10.8,0.0
49,2024-09-11,5,1,RWGRB3,13,15.2,13.5,11.8,0.0
50,2024-09-11,6,1,RWGRA4,11,16.2,11.8,11.1,0.0
51,2024-09-11,7,1,RWGRC3,15,15.1,14.7,13.2,0.0
52,2024-09-11,8,1,RWGRA5,11,12.6,12.2,9.4,0.0
53,2024-09-11,9,2,RWGRC2,14,21.3,16.4,12.8,0.0
54,2024-09-11,10,2,RWGRB4,10,22.1,14.7,15.2,0.0
55,2024-09-11,11,2,RWGRC5,16,14.4,14.2,12.3,0.0
56,2024-09-11,12,2,RWGRB1,12,16.5,13.2,13.3,0.0
57,2024-09-11,13,2,RWGRC4,13,16.2,14.9,13.1,0.0
58,2024-09-11,14,2,RWGRB2,10,16.1,12.2,11.1,0.0
